document,line_number,character,dialogue
a new hope,535,HAN,Bring them on!  I prefer a straight fight to all this sneaking around.
a new hope,536,THREEPIO,"We found the computer outlet, sir."
a new hope,537,BEN,Plug in.  He should be able to interpret the entire Imperial computer network.
a new hope,538,THREEPIO,He says he's found the main control to the power beam that's holding the ship here.  He'll try to make the precise location appear on the monitor.
a new hope,539,THREEPIO,The tractor beam is coupled to the main reactor in seven locations.  A power loss at one of the terminals will allow the ship to leave.
a new hope,540,BEN,I don't think you boys can help.  I must go alone.
a new hope,541,HAN,Whatever you say.  I've done more than I bargained for on this trip already.
a new hope,542,LUKE,I want to go with you.
a new hope,543,BEN,"Be patient, Luke.  Stay and watch over the droids."
a new hope,544,LUKE,But he can...
a new hope,545,BEN,They must be delivered safely or other star systems will suffer the same fate as Alderaan.  Your destiny lies along a different path from mine.  The Force will be with you... always!
a new hope,546,HAN,"Boy you said it, Chewie."
a new hope,547,HAN,Where did you dig up that old fossil?
a new hope,548,LUKE,Ben is a great man.
a new hope,549,HAN,"Yeah, great at getting us into trouble."
a new hope,550,LUKE,I didn't hear you give any ideas...
a new hope,551,HAN,"Well, anything would be better than just hanging around waiting for them to pick us up..."
a new hope,552,LUKE,Who do you think...
a new hope,553,LUKE,What is it?
a new hope,554,THREEPIO,"I'm afraid I'm not quite sure, sir. He says ""I found her,"" and keepsrepeating, ""She's here."""
a new hope,555,LUKE,"Well, who... who has he found?"
a new hope,556,THREEPIO,Princess Leia.
a new hope,557,LUKE,The princess?  She's here?
a new hope,558,HAN,Princess?
a new hope,559,LUKE,Where... where is she?
a new hope,560,HAN,Princess?  What's going on?
a new hope,561,THREEPIO,Level five. Detention block AA-twenty-three.  I'm afraid she's scheduled to be terminated.
a new hope,562,LUKE,"Oh, no!  We've got to do something."
a new hope,563,HAN,What are you talking about?
a new hope,564,LUKE,The droid belongs to her.  She's the one in the message.  We've got to help her.
a new hope,565,HAN,"Now, look, don't get any funny ideas.  The old man wants us to wait right here."
a new hope,566,LUKE,"But he didn't know she was here.  Look, will you just find a way back into the detention block?"
a new hope,567,HAN,I'm not going anywhere.
a new hope,568,LUKE,"They're going to execute her.  Look, a few minutes ago you said you didn't want to just wait here to be captured.  Now all you want to do is stay."
a new hope,569,HAN,Marching into the detention area is not what I had in mind.
a new hope,570,LUKE,But they're going to kill her!
a new hope,571,HAN,Better her than me...
a new hope,572,LUKE,She's rich.
a new hope,573,HAN,Rich?
a new hope,574,LUKE,"Yes.  Rich, powerful!  Listen, if you were to rescue her, the reward would be..."
a new hope,575,HAN,What?
a new hope,576,LUKE,Well more wealth that you can imagine.
a new hope,577,HAN,"I don't know, I can imagine quite a bit!"
a new hope,578,LUKE,You'll get it!
a new hope,579,HAN,I better!
a new hope,580,LUKE,You will...
a new hope,581,HAN,"All right, kid.  But you'd better be right about this!"
a new hope,582,LUKE,All right.
a new hope,583,HAN,What's your plan?
a new hope,584,LUKE,"Uh... Threepio, hand me those binders there will you?"
a new hope,585,LUKE,"Okay.  Now, I'm going to put these on you."
a new hope,586,LUKE,"Okay.  Han, you put these on."
a new hope,587,HAN,"Don't worry, Chewie.  I think I know what he has in mind."
a new hope,588,THREEPIO,"Master Luke, sir!  Pardon me for asking... but, ah... what should Artoo and I do if we're discovered here?"
a new hope,589,LUKE,Lock the door!
a new hope,590,HAN,And hope they don't have blasters.
a new hope,591,THREEPIO,That isn't very reassuring.
a new hope,592,LUKE,I can't see a thing in this helmet.
a new hope,593,HAN,This is not going to work.
a new hope,594,LUKE,Why didn't you say so before?
a new hope,595,HAN,I did say so before!
a new hope,596,OFFICER,Where are you taking this... thing?
a new hope,597,LUKE,Prisoner transfer from Block one-one-three-eight.
a new hope,598,OFFICER,I wasn't notified.  I'll have to clear it.
a new hope,599,HAN,Look out!  He's loose!
a new hope,600,LUKE,He's going to pull us all apart.
a new hope,601,HAN,Go get him!
a new hope,602,HAN,We've got to find out which cell this princess of yours is in.  Here it is... cell twenty-one-eight-seven.  You go get her.  I'll hold them here.
a new hope,603,HAN,Everything is under control.  Situation normal.
a new hope,604,INTERCOM VOICE,What happened?
a new hope,605,HAN,"Uh... had a slight weapons malfunction.  But, uh, everything's perfectly all right now.  We're fine.  We're all fine here, now, thank you.  How are you?"
a new hope,606,INTERCOM VOICE,We're sending a squad up.
a new hope,607,HAN,"Uh, uh, negative, negative.  We had a reactor leak here now.  Give us a few minutes to lock it down.  Large leak... very dangerous."
a new hope,608,INTERCOM VOICE,Who is this?  What's your operating number?
a new hope,609,HAN,Boring conversation anyway.Luke!  We're going to have company!
a new hope,610,LEIA,Aren't you a little short for a stormtrooper?
a new hope,611,LUKE,What?  Oh... the uniform.  I'm Luke Skywalker.  I'm here to rescue you.
a new hope,612,LEIA,You're who?
a new hope,613,LUKE,I'm here to rescue you.  I've got your R2 unit.  I'm here with Ben Kenobi.
a new hope,614,LEIA,Ben Kenobi is here!  Where is he?
a new hope,615,LUKE,Come on!
a new hope,616,VADER,He is here...
a new hope,617,TARKIN,Obi-Wan Kenobi!  What makes you think so?
a new hope,618,VADER,A tremor in the Force.  The last time I felt it was in the presence of my old master.
a new hope,619,TARKIN,Surely he must be dead by now.
a new hope,620,VADER,Don't underestimate the Force.
a new hope,621,TARKIN,"The Jedi are extinct, their fire has gone out of the universe.  You, my friend, are all that's left of their religion."
a new hope,622,TARKIN,Yes.
a new hope,623,INTERCOM VOICE,"Governor Tarkin, we have an emergency alert in detention block AA-twenty-three."
a new hope,624,TARKIN,The princess!  Put all sections on alert!
a new hope,625,VADER,Obi-Wan is here.  The Force is with him.
a new hope,626,TARKIN,"If you're right, he must not be allowed to escape."
a new hope,627,VADER,Escape may not his plan.  I must face him alone.
a new hope,628,HAN,Chewie!
a new hope,629,HAN,Get behind me!  Get behind me!
a new hope,630,HAN,Can't get out that way.
a new hope,631,LEIA,Looks like you managed to cut off our only escape route.
a new hope,632,HAN,"Maybe you'd like it back in your cell, Your Highness."
a new hope,633,LUKE,See-Threepio!  See-Threepio!
a new hope,634,THREEPIO,Yes sir?
a new hope,635,LUKE,We've been cut off!  Are there any other ways out of the cell bay?...What was that?  I didn't copy!
a new hope,636,THREEPIO,"I said, all systems have been alerted to your presence, sir.  The main entrance seems to be the only way out; all other information on your level is restricted."
a new hope,637,TROOPER VOICE,Open up in there!
a new hope,638,THREEPIO,"Oh, no!"
a new hope,639,LUKE,There isn't any other way out.
a new hope,640,HAN,I can't hold them off forever!  Now what?
a new hope,641,LEIA,"This is some rescue.  When you came in here, didn't you have a plan for getting out?"
a new hope,642,HAN,"He's the brains, sweetheart."
a new hope,643,LUKE,"Well, I didn't..."
a new hope,644,HAN,What the hell are you doing?
a new hope,645,LEIA,"Somebody has to save our skins.  Into the garbage chute, wise guy."
a new hope,646,HAN,Get in there you big furry oaf!  I don't care what you smell!  Get in there and don't worry about it.
a new hope,647,HAN,Wonderful girl!  Either I'm going to kill her or I'm beginning to like her.  Get in there!
a new hope,648,HAN,Oh!  The garbage chute was a really wonderful idea.  What an incredible smell you've discovered!  Let's get out of here!  Get away from there...
a new hope,649,LUKE,No!  wait!
a new hope,650,LUKE,Will you forget it?  I already tried it.  It's magnetically sealed!
a new hope,651,LEIA,Put that thing away!  You're going to get us all killed.
a new hope,652,HAN,"Absolutely, Your Worship.  Look, I had everything under control until you led us down here.  You know, it's not going to take them long to figure out what happened to us."
a new hope,653,LEIA,It could be worse...
a new hope,654,HAN,It's worse.
a new hope,655,LUKE,There's something alive in here!
a new hope,656,HAN,That's your imagination.
a new hope,657,LUKE,Something just moves past my leg!  Look!  Did you see that?
a new hope,658,HAN,What?
a new hope,659,LUKE,Help!
a new hope,660,HAN,Luke!  Luke!  Luke!
a new hope,661,LEIA,Luke!
a new hope,662,LEIA,"Luke, Luke, grab a hold of this."
a new hope,663,LUKE,"Blast it, will you!  My gun's jammed."
a new hope,664,HAN,Where?
a new hope,665,LUKE,Anywhere!  Oh!!
a new hope,666,HAN,Luke!  Luke!
a new hope,667,LEIA,Grab him!
a new hope,668,LEIA,What happened?
a new hope,669,LUKE,"I don't know, it just let go of me and disappeared..."
a new hope,670,HAN,I've got a very bad feeling about this.
a new hope,671,LUKE,The walls are moving!
a new hope,672,LEIA,Don't just stand there.  Try and brace it with something.
a new hope,673,LUKE,Wait a minute!
a new hope,674,LUKE,Threepio!  Come in Threepio!  Threepio!  Where could he be?
a new hope,675,FIRST TROOPER,Take over!See to him!  Look there!
a new hope,676,THREEPIO,"They're madmen!  They're heading for the prison level.  If you hurry, you might catch them."
a new hope,677,FIRST OFFICER,Follow me!  You stand guard.
a new hope,678,THREEPIO,Come on!
a new hope,679,THREEPIO,"Oh!  All this excitement has overrun the circuits of my counterpart here.  If you don't mind, I'd like to take him down to maintenance."
a new hope,680,TROOPER,All right.
a new hope,681,LUKE,"Threepio!  Come in, Threepio!  Threepio!"
a new hope,682,HAN,Get to the top!
a new hope,683,LEIA,I can't
a new hope,684,LUKE,"Where could he be?  Threepio!  Threepio, will you come in?"
a new hope,685,THREEPIO,They aren't here!  Something must have happened to them.  See if they've been captured.
a new hope,686,THREEPIO,Hurry!
a new hope,687,HAN,One thing's for sure.  We're all going to be a lot thinner!Get on top of it!
a new hope,688,LEIA,I'm trying!
a new hope,689,THREEPIO,"Thank goodness, they haven't found them!  Where could they be?"
a new hope,690,THREEPIO,"Use the comlink?  Oh, my!  I forgot I turned it off!"
a new hope,691,THREEPIO,"Are you there, sir?"
a new hope,692,LUKE,Threepio!
a new hope,693,THREEPIO,We've had some problems...
a new hope,694,LUKE,"Shut down all the garbage mashers on the detention level, will you?  Do you copy?"
a new hope,695,LUKE,Shut down all the garbage mashers on the detention level.
a new hope,696,LUKE,Shut down all the garbage mashers on the detention level.
a new hope,697,THREEPIO,No.  Shut them all down!  Hurry!
a new hope,698,THREEPIO,"Listen to them!  They're dying, Artoo!  Curse my metal body!  I wasn't fast enough.  It's all my fault!  My poor master!"
a new hope,699,LUKE,"Threepio, we're all right!"
a new hope,700,LUKE,We're all right.  You did great.
a new hope,701,LUKE,"Hey... hey, open the pressure maintenance hatch on unit number... where are we?"
a new hope,702,HAN,Three-two-six-eight-two-seven.
a new hope,703,HAN,"If we can just avoid any more female advice, we ought to be able to get out of here."
a new hope,704,LUKE,"Well, let's get moving!"
a new hope,705,HAN,Where are you going?
a new hope,706,LEIA,"No, wait.  They'll hear!"
a new hope,707,HAN,"Come here, you big coward!"
a new hope,708,HAN,Chewie!  Come here!
a new hope,709,LEIA,"Listen. I don't know who you are, or where you came from, but from now on, you do as I tell you.  Okay?"
a new hope,710,HAN,"Look, Your Worshipfulness, let's get one thing straight!  I takeorders from one person!  Me!"
a new hope,711,LEIA,It's a wonder you're still alive.Will somebody get this big walking carpet out of my way?
a new hope,712,HAN,No reward is worth this.
a new hope,713,OFFICER,Secure this area until the alert is canceled.
a new hope,714,FIRST TROOPER,Give me regular reports.
a new hope,715,FIRST TROOPER,Do you know what's going on?
a new hope,716,SECOND TROOPER,Maybe it's another drill.
a new hope,717,SECOND TROOPER,What was that?
a new hope,718,FIRST TROOPER,"Oh, it's nothing.  Don't worry about it."
a new hope,719,HAN,There she is.
a new hope,720,LUKE,"See-Threepio, do you copy?"
a new hope,721,THREEPIO,"For the moment.  Uh, we're in the main hangar across from the ship."
a new hope,722,LUKE,We're right above you.  Stand by.
a new hope,723,LEIA,You came in that thing?  You're braver that I thought.
a new hope,724,HAN,Nice!  Come on!
a new hope,725,FIRST TROOPER,It's them!  Blast them!
a new hope,726,HAN,Get back to the ship!
a new hope,727,LUKE,Where are you going?  Come back!
a new hope,728,LEIA,He certainly has courage.
a new hope,729,LUKE,What good will it do us if he gets himself killed?  Come on!
a new hope,730,LUKE,I think we took a wrong turn.
a new hope,731,LEIA,There's no lock!
a new hope,732,LUKE,That oughta hold it for a while.
a new hope,733,LEIA,"Quick, we've got to get across.  Find the control that extends the bridge."
a new hope,734,LUKE,"Oh, I think I just blasted it."
a new hope,735,LEIA,They're coming through!
a new hope,736,LUKE,"Here, hold this."
a new hope,737,LEIA,Here they come!
a new hope,738,LEIA,For luck!
a new hope,739,THREEPIO,Where could they be?
a new hope,740,TROOPER,Close the blast doors!
a new hope,741,TROOPER,Open the blast doors!  Open the blast doors!
a new hope,742,VADER,"I've been waiting for you, Obi-Wan.  We meet again, at last.  The circle is now complete."
a new hope,743,VADER,"When I left you, I was but the learner; now I am the master."
a new hope,744,BEN,"Only a master of evil, Darth."
a new hope,745,VADER,"Your powers are weak, old man."
a new hope,746,BEN,"You can't win, Darth.  If you strike me down, I shall become more powerful than you can possibly imagine."
a new hope,747,HAN,Didn't we just leave this party?
a new hope,748,HAN,What kept you?
a new hope,749,LEIA,We ran into some old friends.
a new hope,750,LUKE,Is the ship all right?
a new hope,751,HAN,"Seems okay, if we can get to it.Just hope the old man got the tractor beam out of commission."
a new hope,752,LUKE,Look!
a new hope,753,THREEPIO,"Come on, Artoo, we're going!"
a new hope,754,HAN,Now's our chance!  Go!
a new hope,755,LUKE,No!
a new hope,756,HAN,Come on!
a new hope,757,LEIA,"Come on!  Luke, its too late!"
a new hope,758,HAN,Blast the door!  Kid!
a new hope,759,BEN'S VOICE,"Run, Luke!  Run!"
a new hope,760,HAN,"I hope the old man got that tractor beam out if commission, or this is going to be a real short trip.  Okay, hit it!"
a new hope,761,HAN,We're coming up on the sentry ships.  Hold 'em off!  Angle the deflector shields while I charge up the main guns!
a new hope,762,LUKE,I can't believe he's gone.
a new hope,763,LEIA,There wasn't anything you could have done.
a new hope,764,HAN,"Come on, buddy, we're not out of this yet!"
a new hope,765,HAN,"You in, kid?  Okay, stay sharp!"
a new hope,766,LEIA,Here they come!
a new hope,767,LUKE,They're coming in too fast!
a new hope,768,THREEPIO,Oooh!
a new hope,769,LEIA,We've lost lateral controls.
a new hope,770,HAN,"Don't worry, she'll hold together."
a new hope,771,HAN,"You hear me, baby?  Hold together!"
a new hope,772,LUKE,Got him!  I got him!
a new hope,773,HAN,Great kid!  Don't get cocky.
a new hope,774,LEIA,There are still two more of them out there!
a new hope,775,LUKE,That's it!  We did it!
a new hope,776,LEIA,We did it!
a new hope,777,THREEPIO,Help!  I think I'm melting!This is all your fault.
a new hope,778,TARKIN,Are they away?
a new hope,779,VADER,They have just made the jump into hyperspace.
a new hope,780,TARKIN,"You're sure the homing beacon is secure aboard their ship?  I'm taking an awful risk, Vader.  This had better work."
a new hope,781,HAN,"Not a bad bit of rescuing, huh?  You know, sometimes I even amaze myself."
a new hope,782,LEIA,"That doesn't sound too hard.  Besides, they let us go.  It's the only explanation for the ease of our escape."
a new hope,783,HAN,Easy... you call that easy?
a new hope,784,LEIA,Their tracking us!
a new hope,785,HAN,"Not this ship, sister."
a new hope,786,LEIA,At least the information in Artoo is still intact.
a new hope,787,HAN,What's so important?  What's he carrying?
a new hope,788,LEIA,"The technical readouts of that battle station.  I only hope that when the data is analyzed, a weakness can be found.  It's not over yet!"
a new hope,789,HAN,"It is for me, sister!  Look, I ain't in this for your revolution, and I'm not in it for you, Princess.  I expect to be well paid.  I'm in it for the money!"
a new hope,790,LEIA,"You needn't worry about your reward.  If money is all that you love, then that's what you'll receive!"
a new hope,791,LEIA,Your friend is quite a mercenary.  I wonder if he really cares about anything... or anyone.
a new hope,792,LUKE,I care!
a new hope,793,LUKE,"So... what do you think of her, Han?"
a new hope,794,HAN,"I'm trying not to, kid!"
a new hope,795,LUKE,Good...
a new hope,796,HAN,"Still, she's got a lot of spirit.  I don't know, what do you think?  Do you think a princess and a guy like me..."
a new hope,797,LUKE,No!
a new hope,798,WILLARD,You're safe!  We had feared the worst.
a new hope,799,WILLARD,"When we heard about Alderaan, we were afraid that you were... lost along with your father."
a new hope,800,LEIA,"We don't have time for our sorrows, commander.  The battle station has surely tracked us here.It's the only explanation for the ease of our escape.  You must use the information in this R2 unit to plan the attack.  It is our only hope."
a new hope,801,TARKIN,Yes.
a new hope,802,DEATH STAR INTERCOM VOICE,We are approaching the planet Yavin.  The Rebel base is on a moon on the far side.  We are preparing to orbit the planet.
a new hope,803,DODONNA,The battle station is heavily shielded and carries a firepower greater than half the star fleet.Its defenses are designed around a direct large-scale assault.  A small one-man fighter should be able to penetrate the outer defense.
a new hope,804,GOLD LEADER,"Pardon me for asking, sir, but what good are snub fighters going to be against that?"
a new hope,805,DODONNA,"Well, the Empire doesn't consider a small one-man fighter to be any threat, or they'd have a tighter defense.  An analysis of the plans provided by Princess Leia has demonstrated a weakness in the battle station."
a new hope,806,DODONNA,"The approach will not be easy.  You are required to maneuver straight down this trench and skim the surface to this point.  The target area is only two meters wide.  It's a small thermal exhaust port, right below the main port.  The shaft leads directly to the reactor system.  A precise hit will start a chain reaction which should destroy the station."
a new hope,807,DODONNA,"Only a precise hit will set up a chain reaction.  The shaft is ray-shielded, so you'll have to use proton torpedoes."
a new hope,808,WEDGE,"That's impossible, even for a computer."
a new hope,809,LUKE,It's not impossible.  I used to bullseye womp rats in my T-sixteen back home.  They're not much bigger than two meters.
a new hope,810,DODONNA,Man your ships!  And may the Force be with you!
a new hope,811,DEATH STAR INTERCOM VOICE,Orbiting the planet at maximum velocity.  The moon with the Rebel base will be in range in thirty minutes.
a new hope,812,VADER,This will be a day long remembered.  It has seen the end of Kenobi and it will soon see the end of the Rebellion.
a new hope,813,MAN'S VOICE,"All flight troops, man your stations.  All flight troops, man your stations."
a new hope,814,LUKE,So... you got your reward and you're just leaving then?
a new hope,815,HAN,"That's right, yeah!  I got some old debts I've got to pay off with this stuff.  Even if I didn't, you don't think I'd be fool enough to stick around here, do you?  Why don't you come with us?  You're pretty good in a fight.  I could use you."
a new hope,816,LUKE,"Come on!  Why don't you take a look around?  You know what's about to happen, what they're up against.  They could use a good pilot like you.  You're turning your back on them."
a new hope,817,HAN,"What good's a reward if you ain't around to use it?  Besides, attacking that battle station ain'tmy idea of courage.  It's more like suicide."
a new hope,818,LUKE,"All right.  Well, take care of yourself, Han... guess that's what you're best at, isn't it?"
a new hope,819,HAN,"Hey, Luke... may the Force be with you!"
a new hope,820,HAN,What're you lookin' at?  I know what I'm doing.
a new hope,821,LEIA,What's wrong?
a new hope,822,LUKE,"Oh, it's Han!  I don't know, I really thought he'd change his mind."
a new hope,823,LEIA,He's got to follow his own path.  No one can choose it for him.
a new hope,824,LUKE,I only wish Ben were here.
a new hope,825,BIGGS,Luke!  I don't believe it!  How'd you get here... are you going out with us?!
a new hope,826,LUKE,"Biggs!  Of course, I'll be up there with you!  Listen, have I got some stories to tell..."
a new hope,827,RED LEADER,Are you... Luke Skywalker?  Have you been checked out on the Incom T-sixty-five?
a new hope,828,BIGGS,"Sir, Luke is the best bushpilot in the outer rim territories."
a new hope,829,RED LEADER,"I met your father once when I was just a boy.  He was a great pilot.  You'll do all right.  If you've got half of your father's skill, you'll do better than all right."
a new hope,830,LUKE,"Thank you, sir.  I'll try."
a new hope,831,BIGGS,"I've got to get aboard.  Listen, you'll tell me your stories when we come back.  All right?"
a new hope,832,LUKE,"I told you I'd make it someday, Biggs."
a new hope,833,BIGGS,"You did, all right.  It's going to be like old times Luke. We're a couple of shooting stars that'll never be stopped!"
a new hope,834,CHIEF,This R2 unit of your seems a bit beat up.  Do you want a new one?
a new hope,835,LUKE,"Not on your life!  That little droid and I have been through a lot together.You okay, Artoo?"
a new hope,836,CHIEF,"Okay, easy she goes!"
a new hope,837,THREEPIO,"Hang on tight, Artoo, you've got to come back."
a new hope,838,THREEPIO,"You wouldn't want my life to get boring, would you?"
a new hope,839,BEN'S VOICE,"Luke, the Force will be with you."
a new hope,840,MASSASSI INTERCOM VOICE,"Stand-by alert.  Death Star approaching.  Estimated time to firing range, fifteen minutes."
a new hope,841,RED LEADER,All wings report in.
a new hope,842,RED TEN,Red Ten standing by.
a new hope,843,RED SEVEN,Red Seven standing by.
a new hope,844,BIGGS,Red Three standing by.
a new hope,845,PORKINS,Red Six standing by.
a new hope,846,RED NINE,Red Nine standing by.
a new hope,847,WEDGE,Red Two standing by.
a new hope,848,RED ELEVEN,Red Eleven standing by.
a new hope,849,LUKE,Red Five standing by.
a new hope,850,RED LEADER,Lock S-foils in attack position.
a new hope,851,RED LEADER,We're passing through their magnetic field.
a new hope,852,RED LEADER,Hold tight!
a new hope,853,RED LEADER,Switch your deflectors on.
a new hope,854,RED LEADER,Double front!
a new hope,855,WEDGE,Look at the size of that thing!
a new hope,856,RED LEADER,"Cut the chatter, Red Two."
a new hope,857,RED LEADER,"Accelerate to attack speed.  This is it, boys!"
a new hope,858,GOLD LEADER,"Red Leader, this is Gold Leader."
a new hope,859,RED LEADER,"I copy, Gold Leader."
a new hope,860,GOLD LEADER,We're starting for the target shaft now.
a new hope,861,RED LEADER,We're in position.  I'm going to cut across the axis and try and draw their fire.
a new hope,862,WEDGE,"Heavy fire, boss!  Twenty-threedegrees."
a new hope,863,RED LEADER,I see it.  Stay low.
a new hope,864,LUKE,This is Red Five!  I'm going in!
a new hope,865,BIGGS,"Luke, pull up!"
a new hope,866,BIGGS,Are you all right?
a new hope,867,LUKE,"I got a little cooked, but I'm okay."
a new hope,868,ASTRO-OFFICER,"We count thirty Rebel ships, Lord Vader.  But they're so small they're evading our turbo-lasers!"
a new hope,869,VADER,We'll have to destroy them ship to ship.  Get the crews to their fighters.
a new hope,870,RED LEADER,"Luke, let me know when you're going in."
a new hope,871,LUKE,I'm on my way in now...
a new hope,872,RED LEADER,Watch yourself!  There's a lot of fire coming from the right side of that deflection tower.
a new hope,873,LUKE,I'm on it.
a new hope,874,CONTROL OFFICER,"Squad leaders, we've picked up a new group of signals.  Enemy fighters coming your way."
a new hope,875,LUKE,My scope's negative.  I don't see anything.
a new hope,876,RED LEADER,"Keep up your visual scanning.  With all this jamming, they'll be on top of you before your scope can pick them up."
a new hope,877,RED LEADER,Biggs!  You've picked one up... watch it!
a new hope,878,BIGGS,I can't see it!  Where is he?!
a new hope,879,BIGGS,"He's on me tight, I can't shake him... I can't shake him."
a new hope,880,LUKE,"Hang on, Biggs, I'm coming in."
a new hope,881,LUKE,Got him!
a new hope,882,VADER,Several fighters have broken off from the main group.  Come with me!
a new hope,883,BIGGS,Pull in!  Luke... pull in!
a new hope,884,WEDGE,"Watch your back, Luke!"
a new hope,885,WEDGE,"Watch your back!  Fighter's above you, coming in!"
a new hope,886,LUKE,"I'm hit, but not bad."
a new hope,887,LUKE'S VOICE,"Artoo, see what you can do with it.  Hang on back there."
a new hope,888,RED LEADER,Red Six...
a new hope,889,RED LEADER,Can you see Red Five?
a new hope,890,RED TEN,"There's a heavy fire zone on this side. Red Five, where are you?"
a new hope,891,LUKE,I can't shake him!
a new hope,892,WEDGE,"I'm on him, Luke!"
a new hope,893,WEDGE,Hold on!
a new hope,894,LUKE,Blast it!  Wedge where are you?
a new hope,895,LUKE,"Thanks, Wedge."
a new hope,896,BIGGS,"Good shooting, Wedge!"
a new hope,897,GOLD LEADER,Red Leader...
a new hope,898,GOLD LEADER,... This is Gold Leader.  We're starting out attack run.
a new hope,899,RED LEADER,"I copy, Gold Leader.  Move into position."
a new hope,900,VADER,Stay in attack formation!
a new hope,901,GOLD LEADER,The exhaust post is...
a new hope,902,GOLD LEADER,... marked and locked in!
a new hope,903,GOLD LEADER,Switch power to front deflection screens.
a new hope,904,GOLD LEADER,"How many guns do you think, Gold Five?"
a new hope,905,GOLD FIVE,"I'd say about twenty guns.  Some on the surface, some on the towers."
a new hope,906,MASSASSI INTERCOM VOICE,Death Star will be in range in five minutes.
a new hope,907,GOLD LEADER,Switch to targeting computer.
a new hope,908,GOLD TWO,Computer's locked.  Getting a signal.
a new hope,909,GOLD TWO,The guns... they've stopped!
a new hope,910,GOLD FIVE,Stabilize your rear deflectors.  Watch for enemy fighters.
a new hope,911,GOLD LEADER,They've coming in!  Three marks at two ten.
a new hope,912,VADER,I'll take them myself!  Cover me!
a new hope,913,WINGMAN'S VOICE,"Yes, sir."
a new hope,914,GOLD LEADER,I can't maneuver!
a new hope,915,GOLD FIVE,Stay on target.
a new hope,916,GOLD LEADER,We're too close.
a new hope,917,GOLD FIVE,Stay on target!
a new hope,918,GOLD LEADER,Loosen up!
a new hope,919,GOLD FIVE,Gold Five to Red Leader...
a new hope,920,GOLD FIVE,"Lost Tiree, lost Dutch."
a new hope,921,RED LEADER,"I copy, Gold Five."
a new hope,922,GOLD FIVE,They came from behind....
a new hope,923,OFFICER,"We've analyzed their attack, sir, and there is a danger.  Should I have your ship standing by?"
a new hope,924,TARKIN,Evacuate?  In out moment of triumph?  I think you overestimate their chances!
a new hope,925,VOICE,"Rebel base, three minutes and closing."
a new hope,926,RED LEADER,"Red Group, this is Red Leader."
a new hope,927,RED LEADER,Rendezvous at mark six point one.
a new hope,928,WEDGE,This is Red Two.  Flying towards you.
a new hope,929,BIGGS,"Red Three, standing by."
a new hope,930,DODONNA,"Red Leader, this is Base One.  Keep half your group out of range for the next run."
a new hope,931,RED LEADER'S VOICE,"Copy, Base One.  Luke, take Red Two and Three.  Hold up here and wait for my signal... to start your run."
a new hope,932,RED LEADER,This is it!
a new hope,933,RED TEN,We should be able to see it by now.
a new hope,934,RED LEADER,Keep your eyes open for those fighters!
a new hope,935,RED TEN,There's too much interference!
a new hope,936,RED TEN'S VOICE,"Red Five, can you see them from where you are?"
a new hope,937,LUKE,No sign of any... wait!
a new hope,938,LUKE,Coming in point three five.
a new hope,939,RED TEN,I see them.
a new hope,940,RED LEADER,I'm in range.
a new hope,941,RED LEADER,Target's coming up!
a new hope,942,RED LEADER,Just hold them off for a few seconds.
a new hope,943,VADER,Close up formation.
a new hope,944,RED LEADER,Almost there!
a new hope,945,RED TEN,You'd better let her loose.
a new hope,946,RED LEADER,Almost there!
a new hope,947,RED TEN,I can't hold them!
a new hope,948,RED LEADER,It's away!
a new hope,949,RED NINE'S VOICE,It's a hit!
a new hope,950,RED LEADER,Negative.
a new hope,951,RED LEADER,"Negative!  It didn't go in, it just impacted on the surface."
a new hope,952,LUKE,"Red Leader, we're right above you.  Turn to point..."
a new hope,953,LUKE,... oh-five; we'll cover for you.
a new hope,954,RED LEADER,Stay there...
a new hope,955,RED LEADER,... I just lost my starboard engine.
a new hope,956,RED LEADER,Get set up for your attack run.
a new hope,957,DEATH STAR INTERCOM VOICE,"Rebel base, one minute and closing."
a new hope,958,LUKE,"Biggs, Wedge, let's close it up.  We're going in.  We're going in full throttle."
a new hope,959,WEDGE,"Right with you, boss."
a new hope,960,BIGGS,"Luke, at that speed will you be able to pull out in time?"
a new hope,961,LUKE,It'll be just like Beggar's Canyon back home.
a new hope,962,BIGGS,We'll stay back far enough to cover you.
a new hope,963,WEDGE,"My scope shows the tower, but I can't see the exhaust port!  Are you sure the computer can hit it?"
a new hope,964,LUKE,Watch yourself!  Increase speed full throttle!
a new hope,965,WEDGE,What about that tower?
a new hope,966,LUKE,You worry about those fighters!  I'll worry about the tower!
a new hope,967,LUKE,"Artoo... that, that stabilizer's broken loose again!  See if you can't lock it down!"
a new hope,968,WEDGE,I'm hit!  I can't stay with you.
a new hope,969,LUKE,"Get clear, Wedge."
a new hope,970,LUKE,You can't do any more good back there!
a new hope,971,WEDGE,Sorry!
a new hope,972,VADER,Let him go!  Stay on the leader!
a new hope,973,BIGGS,"Hurry, Luke, they're coming in much faster this time. I can't hold them!"
a new hope,974,LUKE,"Artoo, try and increase the power!"
a new hope,975,BIGGS,"Hurry up, Luke!"
a new hope,976,BIGGS,Wait!
a new hope,977,DEATH STAR INTERCOM VOICE,"Rebel base, thirty seconds and closing."
a new hope,978,VADER,I'm on the leader.
a new hope,979,THREEPIO,"Hang on, Artoo!"
a new hope,980,BEN'S VOICE,"Use the Force, Luke."
a new hope,981,BEN'S VOICE,"Let go, Luke."
a new hope,982,VADER,The Force is strong with this one!
